,Flight Number,Arrival Time,Departure Time,Passengers,Type
0,1,11,126,208,Departure
1,4,47,177,141,Departure
2,5,59,179,143,Departure
3,8,95,219,123,Departure
4,9,99,214,124,Departure
5,12,137,263,234,Departure
6,17,189,311,141,Departure
7,19,211,329,133,Departure
8,20,222,341,125,Departure
9,21,238,348,235,Departure
10,22,245,356,84,Departure
11,23,255,373,188,Departure
12,26,289,409,232,Departure
13,27,306,421,152,Departure
14,28,309,436,220,Departure
15,31,347,464,226,Departure
16,35,385,495,245,Departure
17,36,398,513,96,Departure
18,38,418,547,108,Departure
19,40,441,558,81,Departure
20,43,473,598,236,Departure
21,45,504,624,149,Departure
22,47,525,636,172,Departure
23,53,590,709,189,Departure
24,54,597,714,94,Departure
25,56,618,739,113,Departure
26,57,632,750,141,Departure
27,59,649,762,116,Departure
28,60,662,789,214,Departure
29,61,671,789,178,Departure
30,64,706,829,100,Departure
31,65,722,835,210,Departure
32,66,735,864,170,Departure
33,67,742,862,150,Departure
34,68,753,867,213,Departure
35,69,766,878,208,Departure
36,70,774,888,97,Departure
37,78,864,978,126,Departure
38,79,873,994,196,Departure
39,81,895,1019,136,Departure
40,82,910,1024,135,Departure
41,83,917,1029,186,Departure
42,89,982,1092,220,Departure
43,91,1006,1122,129,Departure
44,94,1038,1156,220,Departure
45,97,1068,1178,189,Departure
46,99,1093,1220,236,Departure
47,100,1104,1234,88,Departure
48,104,1149,1266,169,Departure
49,107,1177,1287,218,Departure
50,109,1203,1329,111,Departure
51,111,1224,1354,140,Departure
52,112,1238,1358,99,Departure
53,113,1249,1368,195,Departure
54,117,1295,1414,159,Departure
55,119,1311,1422,195,Departure
56,121,1333,1448,92,Departure
57,122,1343,1466,239,Departure
58,123,1353,1482,164,Departure
59,125,1378,1489,137,Departure
60,128,1408,1530,172,Departure
61,130,1432,1561,112,Departure
