,Flight Number,Arrival Time,Departure Time,Passengers,Type,final_passengers,percentage
0,1,11,126,208,Departure,186,0.8942307692307693
1,4,47,177,141,Departure,109,0.7730496453900709
2,5,59,179,143,Departure,112,0.7832167832167832
3,8,95,219,123,Departure,93,0.7560975609756098
4,9,99,214,124,Departure,93,0.75
5,12,137,263,234,Departure,191,0.8162393162393162
6,17,189,311,141,Departure,111,0.7872340425531915
7,19,211,329,133,Departure,101,0.7593984962406015
8,20,222,341,125,Departure,97,0.776
9,21,238,348,235,Departure,190,0.8085106382978723
10,22,245,356,84,Departure,63,0.75
11,23,255,373,188,Departure,155,0.824468085106383
12,26,289,409,232,Departure,179,0.771551724137931
13,27,306,421,152,Departure,123,0.8092105263157895
14,28,309,436,220,Departure,170,0.7727272727272727
15,31,347,464,226,Departure,185,0.8185840707964602
16,35,385,495,245,Departure,199,0.8122448979591836
17,36,398,513,96,Departure,72,0.75
18,38,418,547,108,Departure,81,0.75
19,40,441,558,81,Departure,65,0.8024691358024691
20,43,473,598,236,Departure,177,0.75
21,45,504,624,149,Departure,112,0.7516778523489933
22,47,525,636,172,Departure,129,0.75
23,53,590,709,189,Departure,143,0.7566137566137566
24,54,597,714,94,Departure,72,0.7659574468085106
25,56,618,739,113,Departure,85,0.7522123893805309
26,57,632,750,141,Departure,111,0.7872340425531915
27,59,649,762,116,Departure,87,0.75
28,60,662,789,214,Departure,162,0.7570093457943925
29,61,671,789,178,Departure,138,0.7752808988764045
30,64,706,829,100,Departure,76,0.76
31,65,722,835,210,Departure,158,0.7523809523809524
32,66,735,864,170,Departure,129,0.7588235294117647
33,67,742,862,150,Departure,119,0.7933333333333333
34,68,753,867,213,Departure,172,0.8075117370892019
35,69,766,878,208,Departure,159,0.7644230769230769
36,70,774,888,97,Departure,75,0.7731958762886598
37,78,864,978,126,Departure,97,0.7698412698412699
38,79,873,994,196,Departure,147,0.75
39,81,895,1019,136,Departure,102,0.75
40,82,910,1024,135,Departure,102,0.7555555555555555
41,83,917,1029,186,Departure,140,0.7526881720430108
42,89,982,1092,220,Departure,165,0.75
43,91,1006,1122,129,Departure,99,0.7674418604651163
44,94,1038,1156,220,Departure,169,0.7681818181818182
45,97,1068,1178,189,Departure,142,0.7513227513227513
46,99,1093,1220,236,Departure,177,0.75
47,100,1104,1234,88,Departure,66,0.75
48,104,1149,1266,169,Departure,127,0.7514792899408284
49,107,1177,1287,218,Departure,165,0.7568807339449541
50,109,1203,1329,111,Departure,87,0.7837837837837838
51,111,1224,1354,140,Departure,105,0.75
52,112,1238,1358,99,Departure,75,0.7575757575757576
53,113,1249,1368,195,Departure,147,0.7538461538461538
54,117,1295,1414,159,Departure,120,0.7547169811320755
55,119,1311,1422,195,Departure,147,0.7538461538461538
56,121,1333,1448,92,Departure,69,0.75
57,122,1343,1466,239,Departure,180,0.7531380753138075
58,123,1353,1482,164,Departure,123,0.75
59,125,1378,1489,137,Departure,104,0.7591240875912408
60,128,1408,1530,172,Departure,131,0.7616279069767442
61,130,1432,1561,112,Departure,86,0.7678571428571429
